ID;Time;Excluded;Exp;List;Condition;Item;Rating1;Answer1;Answer1Name;Answer2;Answer2Name;Answer3;Answer3Name;Answer4;Answer4Name;Canonical;Shift;Split;NC
bnmcifj5fpposk8d1eu584kt12;1,60E+13;0;cs;2;2;5;1;1;canon;0;split;0;shift;0;nc;1;0;0;0
q9nprsitmd17hjqh5bstld4493;1,60E+13;0;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
hqo6q10ms5lidhavl3mgs7kcd0;1,60E+13;0;cs;2;2;5;3;1;canon;0;split;0;shift;0;nc;1;0;0;0
bkr5618vrtu2ff91h4rj75cic2;1,60E+13;1;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
ergkvlldc0ou89plbk79j49ck1;1,60E+13;0;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
44d5hu3n5aakf4fp31c1ujj8n4;1,60E+13;1;cs;2;2;5;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
7aoc8251emed1op9emkmhjl071;1,60E+13;0;cs;2;2;5;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
l6dv83vsn0utnjth5bfqvluf84;1,60E+13;0;cs;2;2;5;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
lsi6pke78h3jq6qggcbl83uqh6;1,60E+13;0;cs;2;2;5;2;1;canon;0;split;0;shift;0;nc;1;0;0;0
qsq0p0j280jcocvh67r09bds10;1,60E+13;0;cs;2;2;5;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
v85qv9srt4u0jtnh73ipikjse0;1,60E+13;0;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
0jfgpaneh0e5necv3nmk8h1pe6;1,60E+13;0;cs;2;2;5;5;1;canon;0;split;0;shift;0;nc;1;0;0;0
6a467olq3p6iks3jgardtnfoj5;1,60E+13;0;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
6dsq7csg7gb69br890clrvrqu0;1,60E+13;0;cs;2;2;5;5;1;canon;0;split;0;shift;0;nc;1;0;0;0
a3d1fe9f5k4cuipov351d52835;1,60E+13;0;cs;2;2;5;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
5v9o16a8i0nce8ia3vcdueve02;1,60E+13;0;cs;1;3;7;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
